z 001110
y 110101
x 100111
w 111010
v 101101
u 111000
t 00100
s 111111
r 111011
q 001111
p 110001
o 00010
n 00001
m 110110
l 111101
k 101011
j 100100
i 111110
h 00000
g 111001
f 101111
e 00101
d 111100
c 110011
b 110010
a 00011
Y 010111
W 011101
V 011000
T 100101
S 100010
P 010000
O 100011
M 011110
L 011001
I 101100
H 100110
F 011010
D 010001
C 101000
B 101001
A 011111
? 011011
; 010010
3 010011
2 100000
1 100001
. 110111
, 110100
) 010100
( 010101
' 101010
" 110000
! 011100
  00110

 101110
ÿ 010110
